store,url,title,price,compared price,compared to,buy
mastertools,http://mastertools.nl/products/makita-dhp486rtj-accu-klop-schroefboormachine-18v-5-0ah-li-ion-in-mbox,DHP486RTJ Accu klop-/schroefboormachine 18V 5.0Ah in Mbox,"386,95",325,DHP486RTJ,no
mastertools,http://mastertools.nl/products/makita-dhs783zju-2x18-v-cirkelzaag-190-mm-losse-body-in-mbox,DHS783ZJU Accu Cirkelzaag 190mm AWS 2x18V Basic Body in Mbox,"409,95",325,DHS783ZJU,no
mastertools,http://mastertools.nl/products/makita-vc3012l-push-clean-stofzuiger-l-klasse,VC3012L Stofzuiger L-Klasse 23.5L 1200W,"419,95",320,VC3012L,no
mastertools,http://mastertools.nl/products/makita-djv181rtj-decoupeerzaag,DJV181RTJ Accu Decoupeerzaag T-Greep 18V 5.0Ah in Mbox,"429,95",320,DJV181RTJ,no
mastertools,http://mastertools.nl/products/makita-dls111zu-accu-radiaal-afkortzaag-2x18v-aws-losse-body,DLS111ZU Accu Radiaal Afkortzaag 260mm AWS 2x18V Basic Body,"786,95",480,DLS111ZU,no
mtools,https://www.mtools.nl/makita-ddf484z-18-v-boor-schroefmachine-losse-body?channable=02d4ec696400333232313168,Makita DDF484Z 18 V Boor-/schroefmachine,"116,46",85,DDF484Z,no
mtools,https://www.mtools.nl/makita-ddf484zj-18-v-boor-schroefmachine?channable=02d4ec69640035393732f3,Makita DDF484ZJ 18 V Boor-/schroefmachine,"130,35",95,DDF484ZJ,no
mtools,https://www.mtools.nl/makita-ddf484rtj-18-v-boor-schroefmachine?channable=02d4ec6964003131373637f1,Makita DDF484RTJ 18 V Boor-/schroefmachine,"364,79",225,DDF484RTJ,no
toolstation,https://www.toolstation.nl/makita-ddf484z-accu-schroefboormachine-body/p27746,Makita DDF484Z accu schroefboormachine (body) 18V Li-ion (27746),"130,92",85,DDF484Z,no
toolstation,https://www.toolstation.nl/makita-ddf484zj-accu-schroefboormachine-body/p66252,Makita DDF484ZJ accu schroefboormachine (body) 18V Li-ion (66252),"149,00",95,DDF484ZJ,no
